HR,respr,Time(sec),Label
84.25,10.335577256507488,1644227840.0,0
84.62,10.29567155281441,1644227841.0,0
85.0,10.37914973914974,1644227842.0,0
85.4,10.339382881911616,1644227843.0,0
85.72,10.299919588469209,1644227844.0,0
86.1,10.260756396117612,1644227845.0,0
86.58,10.221889894617169,1644227846.0,0
87.02,10.183316725203516,1644227847.0,0
87.42,10.145033579620046,1644227848.0,0
87.82,10.10703719917203,1644227849.0,0
88.17,10.069324373801985,1644227850.0,0
88.52,10.031891941185622,1644227851.0,0
88.85,10.08955160066271,1644227852.0,0
88.82,10.170401963759897,1644227853.0,0
88.72,10.133010780069602,1644227854.0,0
88.63,10.095893524464952,1644227855.0,0
88.55,10.059047197733328,1644227856.0,0
88.52,10.022468844287026,1644227857.0,0
88.48,9.986155551372942,1644227858.0,0
88.45,9.950104448299394,1644227859.0,0
88.45,9.991051314792324,1644227860.0,0
88.43,10.069936435527833,1644227861.0,0
88.45,10.148258091115231,1644227862.0,0
88.43,10.20324649648493,1644227863.0,0
88.38,10.280539948625057,1644227864.0,0
88.3,10.319595755638158,1644227865.0,0
88.13,10.3395971790338,1644227866.0,0
88.02,10.39314245208982,1644227867.0,0
87.9,10.46869090505454,1644227868.0,0
87.78,10.432214630124038,1644227869.0,0
87.6,10.484880551547215,1644227870.0,0
87.45,10.55932733164567,1644227871.0,0
87.3,10.63326068567448,1644227872.0,0
87.2,10.670030694772963,1644227873.0,0
86.95,10.721160726640178,1644227874.0,0
86.72,10.771941748050962,1644227875.0,0
86.47,10.822377320336503,1644227876.0,0
86.27,10.858007679702595,1644227877.0,0
86.02,10.82132522132522,1644227878.0,0
85.78,10.892633890613688,1644227879.0,0
85.55,10.856081427893509,1644227880.0,0
85.28,10.819773463251725,1644227881.0,0
85.08,10.78370755170755,1644227882.0,0
84.98,10.747881280771646,1644227883.0,0
84.88,10.712292269908165,1644227884.0,0
84.82,10.676938170007476,1644227885.0,0
84.72,10.641816662869294,1644227886.0,0
84.6,10.606925460695953,1644227887.0,0
84.4,10.572262305595638,1644227888.0,0
84.23,10.621212591245165,1644227889.0,0
84.08,10.690624238676188,1644227890.0,0
83.93,10.656026749230634,1644227891.0,0
83.85,10.656061071544944,1644227892.0,0
83.88,10.62179720957856,1644227893.0,0
83.95,10.587752987752989,1644227894.0,0
84.0,10.656162722616395,1644227895.0,0
84.05,10.62222589865902,1644227896.0,0
84.1,10.588504546599784,1644227897.0,0
84.17,10.554996620819406,1644227898.0,0
84.25,10.521700101510827,1644227899.0,0
84.3,10.488612994273373,1644227900.0,0
